codigo_dane;establecimiento educativo;comuna;prestacion_servicio;isce_total_2018;isce_prim_2018;isce_secun_2018;isce_media_2018;desempeño_prim_2018;progreso_prim_2018;eficiencia_prim_2018;ambiente_prim_2018;desempeño_secun_2018;progreso_secun_2018;eficiencia_secun_2018;ambiente_secun_2018;desempeño_media_2018;progreso_media_2018;eficienciai_media_2018;iscec_total_2017;iscec_prim_2017;iscec_secun_2017;iscec_media_2017;desempeño_prim_2017;progreso_prim_2017;eficiencia_prim_2017;ambiente_prim_2017;desempeño_secun_2017;progreso_secun_2017;eficiencia_secun_2017;ambiente_secun_2017;desempeño_media_2017;progreso_media_2017;eficiencia_media_2017;iscec_total_2016;iscec_prim_2016;iscec_secun_2016;iscec_media_2016;desempeño_prim_2016;progreso_prim_2016;eficiencia_prim_2016;ambiente_prim_2016;desempeño_secun_2016;progreso_secun_2016;eficienciacia_secun_2016;ambiente_secun_2016;desempeño_media_2016;progreso_media_2016;eficiencia_media_2016;iscec_total_2015;iscec_prim_2015;iscec_secun_2015;iscec_media_2015;desempeño_prim_2015;progreso_prim_2015;eficiencia_prim_2015;ambiente_prim_2015;desempeño_secun_2015;progreso_secun_2015;eficiencia_secun_2015;ambiente_secun_2015;desempeño_media_2015;progreso_media_2015;eficiencia_media_2015
105001000931;inst educ diego echavarria misas;5;oficial;5.210989547;5.687024593;5.07881546;4.371215343;2.480000019;1.50666666;0.938000023;0.762357891;2.56400013;1.064777374;0.713999987;0.736038208;2.541439056;0.001776264;1.827999949;5.663315296;5.774628639;4.531956673;7.392737865;2.56400013;1.516025662;0.931572616;0.763030708;2.539999962;0.416666657;0.815109372;0.760180593;2.580727577;3;1.812010407;6.74896493;6.946917534;6.088676453;7.459076405;2.681999922;2.606280804;0.958637476;0.699999988;2.496000051;2.115255594;0.747274518;0.730146348;2.452865362;3.079657316;1.926553726;4.344418168;3.486730814;3.765809774;7.286779404;2.547999859;0;0.938730853;;2.279999971;0.015151516;0.741308793;0.729349673;2.461931944;3.04754591;1.777301927
105001000981;inst educ gilberto alzate avendaño;4;oficial;5.052106261;4.32048893;4.660596371;7.383387566;2.302000046;0.359327883;0.901000023;0.758161306;2.444000006;0.632953167;0.827000022;0.756642938;2.555387497;3;1.827999949;4.91807785;4.19801712;4.413377762;7.421439648;2.310000181;0.246318668;0.88553369;0.75616473;2.452000141;0.425000012;0.813056409;0.72332114;2.607230186;3.038167953;1.776041627;4.545138168;4.199517727;4.546477795;5.320439816;2.276000023;0.277030826;0.905971169;0.740515769;2.231999874;0.661572635;0.923292816;0.72961241;2.392886162;1.016326427;1.911227107;4.368549347;4.859893322;4.056494236;3.809121847;2.266000032;0.985031009;0.85505618;0.753805876;2.203999996;0.464746624;0.651724138;0.736023128;2.410554409;0.028049588;1.370517928
105001000990;inst educ gonzalo restrepo jaramillo;9;oficial;4.784688067;4.26341486;5.720000267;4.320756435;2.40199995;0.139304817;0.959999979;0.762110293;2.404000044;1.641518235;0.917999983;0.756482184;2.364756584;0;1.95599997;4.80118978;4.434559345;5.548129082;4.318964481;2.553999901;0.169143409;0.951488435;0.75992769;2.420000076;1.50505054;0.888738155;0.73434037;2.357549667;0;1.961414814;5.03652916;4.413371563;5.790124416;5.119842052;2.519999981;0.183126077;0.964679897;0.745565653;2.371999979;1.760869503;0.931129456;0.726125419;2.42775774;0.719862223;1.972222209;5.368559408;6.587593555;4.010125637;5.002991676;2.621999979;2.320138693;0.89321267;0.752241969;2.404000044;0;0.852094241;0.75403136;2.353365183;0.820512772;1.829113924
105001001023;inst educ antonio ricaurte;16;oficial;4.596140575;4.439888954;4.902966499;4.410761356;2.255999804;0.540413737;0.888999999;0.754475713;2.403999805;0.875769198;0.862999976;0.760197878;2.423573017;0.077188328;1.909999967;4.712087035;3.829665184;4.338698864;7.3509655;2.202000141;0;0.874407589;0.753257453;2.303999901;0.509900987;0.788990855;0.735807061;2.396140814;3.027288675;1.927536249;4.615046477;5.23366785;4.084479332;4.151640892;2.381999969;1.162253261;0.941176474;0.748237967;2.236000061;0.25;0.866468847;0.732010484;2.221085548;0;1.930555582;4.506839561;5.22393465;3.845207691;4.051231384;2.43200016;1.200121403;0.851916376;0.739896715;2.328000069;0.030408163;0.75070028;0.736099303;2.285714149;0;1.765517241
105001001121;inst educ jose roberto vasquez;3;oficial;4.397349834;4.092543125;4.84774065;4.294981003;2.262000084;0.137561277;0.934000015;0.758981764;2.312000036;0.990973294;0.774999976;0.769767165;2.454260349;0.036720816;1.80400002;4.078050363;4.232611656;3.866932154;4.09974432;2.332000017;0.202941179;0.936619699;0.761050999;2.228000164;0;0.863989651;0.774942338;2.378472805;0;1.721271396;5.221474624;5.266580105;4.028669357;7.207396507;2.429999828;1.14915967;0.94829613;0.739124656;2.180000067;0.332963914;0.783564806;0.73214066;2.348715782;3.04095912;1.817721486;4.467767847;5.875046253;2.915313482;4.018186569;2.621999741;1.663218498;0.839731286;0.750096977;2.15199995;0;0.763313609;;2.395443439;0.12927036;1.493472585
105001001155;inst educ san juan bautista de la salle;3;oficial;5.570503306;6.29316473;4.80316925;5.287349701;2.461999893;2.259146214;0.816999972;0.755018711;2.392000198;0.846318126;0.800999999;0.76385057;2.450075626;0.90927422;1.927999973;5.270038629;6.816493034;3.834955692;4.301911354;2.568000078;2.644208908;0.849779069;0.754504979;2.300000191;0.005;0.787148595;0.742806852;2.345460892;0.020145042;1.936305761;4.110086119;3.791335344;4.553518295;4.051269054;2.197999954;0;0.855882347;0.737452865;2.263999939;0.765957475;0.778443098;0.745118082;2.248285294;0.010775872;1.792207837;4.968511748;4.839049816;5.055599213;5.107398033;2.400000095;0.848412931;0.837267081;0.753369749;2.203999996;1.5;0.622266402;0.729332983;2.334534645;1.205024004;1.567839196
105001001163;inst educ la asuncion;2;oficial;5.944346356;5.585963726;7.316288948;4.349807739;2.56400013;1.383957386;0.876999974;0.761006415;2.727999926;3.015625;0.81400001;0.758663952;2.549808025;0;1.799999952;6.632786918;5.547794342;7.362549305;7.796936035;2.528000116;1.318680525;0.930051804;0.771061838;2.703999996;3.021728992;0.84799999;0.788820088;2.637917042;3.260714293;1.898305058;5.083484554;4.812173843;5.929531097;4.213352203;2.39199996;0.75555557;0.921146929;0.743471324;2.687999964;1.649695992;0.837719321;0.754115462;2.307102203;0;1.90625;4.062530208;4.777999878;4.111999989;2.366151333;2.528000116;2.25;;;2.611999989;1.5;;;2.366151333;;
105001001198;inst educ aures;7;oficial;4.522732604;3.883103132;5.474807262;4.295768261;2.24000001;0;0.884000003;0.759102941;2.360000134;1.514999986;0.846000016;0.753806829;2.504242897;0.091525428;1.700000048;4.83439517;4.71361208;5.428008556;4.067333698;2.40199995;0.677588582;0.883143723;0.750879824;2.39199996;1.50505054;0.78125;0.749708116;2.35150528;0.033069938;1.68275857;5.209487498;3.86382699;5.789011955;7.22305584;2.243999958;0.002747253;0.872635543;0.744444132;2.411999941;1.791454077;0.826315761;0.759242237;2.26711607;3.049689531;1.90625;4.092933297;4.095750809;4.156405926;3.975516796;2.328000069;0.152479619;0.880047506;0.735223472;2.472000122;0.118037276;0.817535545;0.748833239;2.246193409;0;1.729323308
105001001236;inst educ  montecarlo guillermo gaviria correa;3;oficial;3.985565436;3.981954813;3.792666435;4.331262589;2.190000057;0.1875;0.84799999;0.756454647;2.256000042;0.015306123;0.759000003;0.762360096;2.381262302;0;1.950000048;4.331544089;3.951050758;4.051286221;5.678105354;2.279999971;0.049312942;0.863557875;0.758180082;2.291999817;0.237253934;0.771681428;0.750351131;2.364291668;1.385242105;1.928571463;4.124359751;4.500108242;3.683651447;4.050165176;2.180000067;0.723265052;0.861683846;0.735159457;2.135999918;0;0.823863626;0.723788023;2.199697971;0;1.850467324;4.201693141;3.658593893;4.319723129;5.217113972;2.096000195;0;0.810032895;0.752560854;2.375999928;0.413749993;0.795918367;0.734054744;2.302452564;1.158139467;1.756521739
105001001252;inst educ cristobal colon;12;oficial;4.320509267;4.050325394;4.607421398;4.426326752;2.411999941;0.008426966;0.871999979;0.75789839;2.447999954;0.681818187;0.741999984;0.735603154;2.50865984;0.041666672;1.876000047;5.623342037;5.317614555;5.057629585;7.301225662;2.481999874;1.185399055;0.891566277;0.758649468;2.568000078;0.907479167;0.827292085;0.754858375;2.602813005;3;1.698412657;4.629701257;3.952475071;3.950647354;7.341804504;2.218000174;0.164965987;0.835497856;0.734011173;2.343999863;0.227541372;0.629554629;0.749551415;2.492619038;3.179894209;1.669291377;4.504252183;3.882611513;5.174496174;4.730016708;2.369999886;0;0.773333333;0.739278436;2.400000095;1.515208364;0.538333333;0.720954299;2.342438698;0.70925647;1.678321678
